Species,Code,Depth,Period,Days,Biomass,change,mass,mass_change
Laminaria hyperborea,LH_1,15m,T5,36,6.53,-5.59,32.91330645,-67.08669355
Laminaria hyperborea,LH_2,15m,T5,36,16.12,-0.03,98.05352798,-1.946472019
Laminaria hyperborea,LH_3,15m,T5,36,19.58,0.05,98.68951613,-1.310483871
Laminaria hyperborea,LH_4,15m,T5,36,1.31,-0.41,10.234375,-89.765625
Laminaria hyperborea,LH_5,15m,T5,36,12.09,-0.49,93.28703704,-6.712962963
Laminaria hyperborea,LH_1,30m,T5,36,0,-1.58,0,-100
Laminaria hyperborea,LH_2,30m,T5,36,2.42,-1.89,20.13311148,-79.86688852
Laminaria hyperborea,LH_3,30m,T5,36,9.88,0,95.36679537,-4.633204633
Laminaria hyperborea,LH_4,30m,T5,36,0,,0,-100
Laminaria hyperborea,LH_5,30m,T5,36,0,,0,-100
Laminaria ochroleuca,LO_1,0m,T5,36,14.5,-0.94,99.31506849,-0.684931507
Laminaria ochroleuca,LO_2,0m,T5,36,13.06,0.16,106.5252855,6.525285481
Laminaria ochroleuca,LO_3,0m,T5,36,14.6,0.23,107.0381232,7.038123167
Laminaria ochroleuca,LO_4,0m,T5,36,13.36,0.2,110.5960265,10.59602649
Laminaria ochroleuca,LO_5,0m,T5,36,10.25,-0.08,95.17177344,-4.828226555
Laminaria ochroleuca,LO_1,15m,T5,36,8.06,-0.14,82.66666667,-17.33333333
Laminaria ochroleuca,LO_2,15m,T5,36,11.74,0.23,94.98381877,-5.01618123
Laminaria ochroleuca,LO_3,15m,T5,36,15.56,0.2,102.7741083,2.774108322
Laminaria ochroleuca,LO_4,15m,T5,36,13.63,0.26,104.5245399,4.524539877
Laminaria ochroleuca,LO_5,15m,T5,36,9.85,0.35,94.8026949,-5.197305101
Laminaria ochroleuca,LO_1,30m,T5,36,11.63,-0.37,93.41365462,-6.586345382
Laminaria ochroleuca,LO_2,30m,T5,36,8.51,-3.07,65.81593194,-34.18406806
Laminaria ochroleuca,LO_3,30m,T5,36,12.81,-0.04,93.43544858,-6.564551422
Laminaria ochroleuca,LO_4,30m,T5,36,11.26,-0.02,97.74305556,-2.256944444
Laminaria ochroleuca,LO_5,30m,T5,36,0,-4.13,0,-100
Laminaria hyperborea,LH_1,0m,T6,56,22.19,0.37,101.4631916,1.463191587
