Species,Depth,Nutrients,Code,Time,Days,NPP,R,GPP,par,temp
L.ochroleuca,0,NO,LO_4-0m,6,56,110.78,51.54,162.32,1759.34,23.7
L.ochroleuca,0,NO,LO_5-0m,1,9,189.68,58.46,248.14,745.31,17.7
L.ochroleuca,0,NO,LO_5-0m,2,16,201.93,77.49,279.42,539.08,17.3
L.ochroleuca,0,NO,LO_5-0m,3,23,208.8,64.77,273.57,1857.99,19.9
L.ochroleuca,0,NO,LO_5-0m,4,30,189.62,38.04,227.66,1752.16,21.2
L.ochroleuca,0,NO,LO_5-0m,5,36,263.88,56.21,320.09,993.42,20
L.ochroleuca,0,NO,LO_5-0m,6,56,60.96,66.01,126.97,1759.34,23.7
L.ochroleuca,15,NO,LO_1-15m,1,9,109.76,53.09,162.85,749.86,17.2
L.ochroleuca,15,NO,LO_1-15m,2,16,63.19,56.29,119.48,552.96,17.3
L.ochroleuca,15,NO,LO_1-15m,3,23,204.27,67.03,271.3,1876.99,19.8
L.ochroleuca,15,NO,LO_1-15m,4,30,197.57,40.65,238.22,1706.92,19.6
L.ochroleuca,15,NO,LO_1-15m,5,36,219.72,17.86,237.58,1099.4,19.8
L.ochroleuca,15,NO,LO_1-15m,6,56,220.25,48.94,269.19,1749.1,22.8
L.ochroleuca,15,NO,LO_2-15m,1,9,48.09,48.66,96.75,756.44,17.2
L.ochroleuca,15,NO,LO_2-15m,2,16,-9.97,55.86,45.9,548.13,17.4
L.ochroleuca,15,NO,LO_2-15m,3,23,148.92,60.85,209.77,1878.82,19.8
L.ochroleuca,15,NO,LO_2-15m,4,30,136.81,57.28,194.1,1708.49,19.7
L.ochroleuca,15,NO,LO_2-15m,5,36,203.21,41.27,244.48,1077.89,19.7
L.ochroleuca,15,NO,LO_2-15m,6,56,182.63,53.21,235.84,1748.83,22.7
L.ochroleuca,15,NO,LO_3-15m,1,9,78.94,52.71,131.65,760.75,17.2
L.ochroleuca,15,NO,LO_3-15m,2,16,114.63,52.85,167.48,555.94,17.3
L.ochroleuca,15,NO,LO_3-15m,3,23,184.55,69.6,254.16,1882.69,19.8
L.ochroleuca,15,NO,LO_3-15m,4,30,206.51,49.22,255.73,1709.98,19.7
L.ochroleuca,15,NO,LO_3-15m,5,36,199.41,47.27,246.68,1071.16,19.8
L.ochroleuca,15,NO,LO_3-15m,6,56,197.93,62.11,260.04,1748.89,22.8
L.ochroleuca,15,NO,LO_4-15m,1,9,108.57,43.87,152.44,765.14,17.2
L.ochroleuca,15,NO,LO_4-15m,2,16,99.79,50.88,150.67,556.82,17.4
L.ochroleuca,15,NO,LO_4-15m,3,23,166.08,55.9,221.99,1883.87,19.9
L.ochroleuca,15,NO,LO_4-15m,4,30,183.9,38.37,222.28,1712.17,19.7
L.ochroleuca,15,NO,LO_4-15m,5,36,183.93,35.84,219.77,1062.12,19.8
L.ochroleuca,15,NO,LO_4-15m,6,56,164.13,40.27,204.4,1749.29,22.7
L.ochroleuca,15,NO,LO_5-15m,1,9,99.96,55.37,155.33,767.79,17.2
L.ochroleuca,15,NO,LO_5-15m,2,16,135.89,48.19,184.09,550.68,17.4
L.ochroleuca,15,NO,LO_5-15m,3,23,188.53,52.95,241.49,1883.39,19.9
L.ochroleuca,15,NO,LO_5-15m,4,30,175.97,37.67,213.64,1714.23,19.8
L.ochroleuca,15,NO,LO_5-15m,5,36,171.45,26.9,198.35,1054.68,19.8
L.ochroleuca,15,NO,LO_5-15m,6,56,194.05,51.62,245.67,1748.48,22.6
L.ochroleuca,30,NO,LO_1-30m,1,9,32.66,23.46,56.12,721.66,18
L.ochroleuca,30,NO,LO_1-30m,2,16,6.01,21.16,27.17,518.44,17.2
L.ochroleuca,30,NO,LO_1-30m,3,23,105.83,19.55,125.38,1868.33,19.4
L.ochroleuca,30,NO,LO_1-30m,4,30,111.69,16.61,128.3,1725.05,19.8
L.ochroleuca,30,NO,LO_1-30m,5,36,72.48,20.73,93.21,991.59,19.6
L.ochroleuca,30,NO,LO_1-30m,6,56,0,0,0,NA,NA
L.ochroleuca,30,NO,LO_2-30m,1,9,29.37,30.85,60.21,717.74,18
L.ochroleuca,30,NO,LO_2-30m,2,16,2.18,16.34,18.51,524.54,17.2
L.ochroleuca,30,NO,LO_2-30m,3,23,67.6,25.72,93.32,1869.88,19.3
L.ochroleuca,30,NO,LO_2-30m,4,30,77.11,16.32,93.43,1724.27,19.9
L.ochroleuca,30,NO,LO_2-30m,5,36,-85.62,71.4,-14.23,994.86,19.6
L.ochroleuca,30,NO,LO_2-30m,6,56,0,0,0,NA,NA
L.ochroleuca,30,NO,LO_3-30m,1,9,34.97,48.16,83.13,715.7,18
L.ochroleuca,30,NO,LO_3-30m,2,16,23.44,22.13,45.57,501.93,17.2
L.ochroleuca,30,NO,LO_3-30m,3,23,103.74,22.14,125.87,1869.09,19.3
L.ochroleuca,30,NO,LO_3-30m,4,30,109.26,11.87,121.13,1724.16,19.9
L.ochroleuca,30,NO,LO_3-30m,5,36,92.73,11.34,104.08,1003.46,19.6
L.ochroleuca,30,NO,LO_3-30m,6,56,138.94,11.46,150.4,1726.11,22.6
L.ochroleuca,30,NO,LO_4-30m,1,9,64.57,47.88,112.45,710.36,18
L.ochroleuca,30,NO,LO_4-30m,2,16,7.81,17.3,25.1,510.55,17.2
L.ochroleuca,30,NO,LO_4-30m,3,23,98.92,24.43,123.35,1870.59,19.2
L.ochroleuca,30,NO,LO_4-30m,4,30,102.42,14.94,117.36,1724.12,20
L.ochroleuca,30,NO,LO_4-30m,5,36,86.46,12.14,98.6,1005.95,19.6
L.ochroleuca,30,NO,LO_4-30m,6,56,117.1,17.79,134.88,1753.59,22.6
L.ochroleuca,30,NO,LO_5-30m,1,9,68.1,22.75,90.85,711.63,18
L.ochroleuca,30,NO,LO_5-30m,2,16,20.63,31.14,51.77,499.22,17.2
L.ochroleuca,30,NO,LO_5-30m,3,23,77.07,47.99,125.05,1872.08,19.2
L.ochroleuca,30,NO,LO_5-30m,4,30,-75.03,59.53,-15.5,1727.56,20
L.ochroleuca,30,NO,LO_5-30m,5,36,0,0,0,NA,NA
L.ochroleuca,30,NO,LO_5-30m,6,56,0,0,0,NA,NA
